,Mean Interarrival,Mean Wait Time,Max Wait Time,Mean Service Time,Mean System Time,Overtime Jobs
692,0.031023894853445536,2.1137790263663263e-05,0.004998479699167113,0.03706425925741392,0.03708539704767757,1
693,0.03355648755628205,2.692774227659873e-05,0.008024467198426422,0.03779894736593229,0.037825875108208895,0
694,0.03074495061015483,1.3661833822229567e-05,0.00441277232458015,0.036723463444579184,0.03673712527840142,0
695,0.03504913828146332,0.00013966426471007006,0.01409296252355663,0.038545191126477966,0.038684855391188044,0
696,0.03058563195664145,8.941368840825678e-05,0.01574546127272658,0.035953033453389474,0.036042447141797725,0
697,0.034948853016182425,1.9810726445048588e-05,0.004888264062799408,0.037919703723623265,0.037939514450068275,0
698,0.033554356789431215,7.744120828805967e-05,0.010422333098905945,0.03707245987553695,0.037149901083825,1
699,0.030582683972379426,2.0405943783802057e-06,0.0006652337673519471,0.036726651493176936,0.03672869208755532,0
700,0.030856487539660964,8.838771362279027e-05,0.01003913180351268,0.03609805080154301,0.036186438515165814,0
701,0.03265572906479813,2.0641464968536697e-05,0.003349047575239794,0.03790091820872478,0.037921559673693275,0
702,0.029591445759710917,5.413801041566847e-05,0.008364776050441947,0.037655642755192814,0.0377097807656085,0
703,0.031190444526066567,0.00014187251570737887,0.0130522183897539,0.038803120854423674,0.03894499337013106,0
704,0.032116828804243526,6.596164145145113e-05,0.013048757549484341,0.03832312154529911,0.038389083186750536,0
705,0.03353687310946016,3.156128953095463e-05,0.008550807839685426,0.038538695663040495,0.03857025695257142,2
706,0.033439754618509586,1.6919946110278234e-05,0.005059063886973192,0.03977626921589769,0.03979318916200799,1
707,0.03569576923981643,6.254952318818748e-05,0.017451316969504305,0.038684827436540406,0.03874737695972858,0
708,0.032979643123030485,2.248508419932262e-05,0.00498480098739984,0.03812290920209311,0.03814539428629245,1
709,0.03388395753635827,2.2365602985530705e-05,0.004933728692904538,0.03768171496050971,0.037704080563495265,1
710,0.031084730265260683,4.8061588027351874e-05,0.008483591874796304,0.0386506235556267,0.038698685143654044,0
711,0.03367619353443485,4.3502279834514486e-05,0.0049973297878538325,0.04004204556947463,0.04008554784930913,0
712,0.030837266146021343,1.5456543275154056e-05,0.0026951460510886704,0.03794939104565579,0.037964847588930935,1
